                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.53308,                 0.3452,                0.96534,                0.79999,                0.99994,                  0.945,                0.70561,                 1.3227,                0.73991,                 1.8757,              0.0013202,              0.0013202,              0.0013202
                    105,                0.49047,                0.37215,                0.90338,                0.79999,                0.99994,                  0.945,                0.70561,                 1.3227,                0.73991,                 1.8757,              0.0013136,              0.0013136,              0.0013136
                    106,                0.52035,                0.35738,                0.92993,                0.79907,                0.99534,                  0.945,                0.67945,                  1.407,                0.75131,                 1.9468,               0.001307,               0.001307,               0.001307
                    107,                0.54471,                0.36024,                0.94505,                0.79907,                0.99534,                  0.945,                0.67945,                  1.407,                0.75131,                 1.9468,              0.0013004,              0.0013004,              0.0013004
                    108,                0.51845,                0.31343,                0.94385,                0.79798,                0.98992,                  0.945,                0.62657,                 1.4714,                0.81379,                 2.0146,              0.0012938,              0.0012938,              0.0012938
                    109,                0.54306,                0.35295,                0.95931,                0.79798,                0.98992,                  0.945,                0.62657,                 1.4714,                0.81379,                 2.0146,              0.0012872,              0.0012872,              0.0012872
                    110,                0.52735,                0.39112,                0.98879,                 0.7982,                0.99099,                  0.945,                0.60148,                  1.477,                0.77136,                 1.9775,              0.0012806,              0.0012806,              0.0012806
                    111,                0.53519,                0.36416,                0.97377,                 0.7982,                0.99099,                  0.945,                0.60148,                  1.477,                0.77136,                 1.9775,               0.001274,               0.001274,               0.001274
                    112,                0.44389,                0.30674,                0.89609,                0.79853,                0.99264,                  0.945,                0.61881,                  1.411,                0.79523,                 1.8836,              0.0012674,              0.0012674,              0.0012674
                    113,                0.49935,                0.34487,                0.90028,                0.79853,                0.99264,                  0.945,                0.61881,                  1.411,                0.79523,                 1.8836,              0.0012608,              0.0012608,              0.0012608
                    114,                0.50134,                0.36597,                0.94827,                0.79823,                0.99114,                  0.945,                0.61933,                 1.3862,                0.77448,                 1.8421,              0.0012542,              0.0012542,              0.0012542
                    115,                0.50933,                0.33047,                0.93669,                0.79823,                0.99114,                  0.945,                0.61933,                 1.3862,                0.77448,                 1.8421,              0.0012476,              0.0012476,              0.0012476
                    116,                0.49478,                0.33322,                0.93376,                0.79781,                0.98906,                  0.945,                0.66662,                 1.3938,                 0.7544,                 1.8398,               0.001241,               0.001241,               0.001241
                    117,                0.51321,                0.33589,                0.97892,                0.79781,                0.98906,                  0.945,                0.66662,                 1.3938,                 0.7544,                 1.8398,              0.0012344,              0.0012344,              0.0012344
                    118,                0.52232,                0.36261,                  0.959,                0.93223,                   0.75,                0.91167,                0.63261,                  1.352,                0.79529,                 1.8153,              0.0012278,              0.0012278,              0.0012278
